Brain name,Time to update policy,Time since start of training,Time for last experience collection,Number of experiences used for training,Mean return
LearningBrain,0.227,2185.230,5.711,1006,0.494
LearningBrain,0.230,2191.905,5.802,1007,0.495
LearningBrain,0.228,2198.706,5.915,1024,0.497
LearningBrain,0.227,2205.402,5.825,1019,0.498
LearningBrain,0.227,2212.222,5.935,1036,0.499
LearningBrain,0.231,2219.104,5.880,1018,0.500
LearningBrain,0.230,2225.904,5.916,1021,0.502
LearningBrain,0.231,2232.552,5.775,1010,0.503
LearningBrain,0.229,2239.195,5.774,1001,0.504
LearningBrain,0.232,2245.820,5.754,1004,0.506
LearningBrain,0.228,2252.542,5.843,1019,0.507
LearningBrain,0.227,2259.307,5.882,1015,0.507
LearningBrain,0.226,2266.000,5.819,1005,0.509
LearningBrain,0.226,2272.601,5.739,1004,0.510
LearningBrain,0.227,2279.327,5.850,1016,0.511
LearningBrain,0.230,2285.934,5.739,1001,0.512
LearningBrain,0.230,2292.746,5.925,1028,0.514
LearningBrain,0.228,2299.547,5.914,1027,0.515
LearningBrain,0.226,2306.177,5.765,1007,0.516
LearningBrain,0.229,2312.838,5.791,1008,0.517
LearningBrain,0.229,2319.569,5.855,1002,0.518
LearningBrain,0.231,2326.388,5.936,1011,0.520
LearningBrain,0.224,2333.017,5.764,1005,0.521
LearningBrain,0.229,2339.646,5.761,1013,0.522
LearningBrain,0.243,2346.325,5.793,1005,0.523
LearningBrain,0.228,2353.035,5.836,1019,0.524
LearningBrain,0.229,2359.750,5.838,1016,0.525
LearningBrain,0.228,2366.398,5.780,1013,0.526
LearningBrain,0.228,2373.134,5.857,1004,0.528
LearningBrain,0.231,2379.916,5.896,1023,0.529
LearningBrain,0.234,2386.636,5.837,1006,0.530
LearningBrain,0.229,2393.373,5.858,1022,0.531
LearningBrain,0.229,2400.106,5.854,1014,0.533
LearningBrain,0.226,2406.841,5.862,1005,0.534
LearningBrain,0.229,2413.543,5.828,1006,0.535
LearningBrain,0.227,2420.202,5.789,1004,0.536
LearningBrain,0.226,2426.947,5.870,1003,0.537
LearningBrain,0.232,2433.702,5.870,1004,0.539
LearningBrain,0.229,2440.332,5.761,1002,0.540
LearningBrain,0.228,2447.038,5.828,1014,0.541
LearningBrain,0.233,2453.691,5.783,1009,0.542
LearningBrain,0.229,2460.348,5.783,1006,0.543
LearningBrain,0.229,2467.191,5.958,1004,0.544
LearningBrain,0.229,2473.912,5.842,1018,0.545
LearningBrain,0.232,2480.604,5.815,1011,0.546
LearningBrain,0.229,2487.252,5.775,1002,0.547
LearningBrain,0.232,2494.022,5.877,1007,0.548
LearningBrain,0.229,2500.695,5.802,1002,0.550
LearningBrain,0.228,2507.456,5.880,1022,0.551
LearningBrain,0.231,2514.133,5.806,1003,0.552
LearningBrain,0.227,2520.834,5.823,1013,0.553
LearningBrain,0.228,2527.785,5.944,1026,0.554
LearningBrain,0.231,2534.413,5.761,1001,0.555
LearningBrain,0.228,2541.170,5.880,1022,0.556
LearningBrain,0.229,2547.859,5.815,1008,0.556
LearningBrain,0.230,2554.617,5.878,1015,0.557
LearningBrain,0.227,2561.285,5.795,1002,0.558
LearningBrain,0.229,2568.007,5.844,1020,0.559
LearningBrain,0.229,2574.852,5.954,1026,0.560
LearningBrain,0.233,2581.521,5.792,1008,0.561
LearningBrain,0.231,2588.237,5.842,1005,0.562
LearningBrain,0.228,2594.951,5.841,1004,0.563
LearningBrain,0.229,2601.750,5.914,1030,0.564
LearningBrain,0.227,2608.565,5.929,1009,0.565
LearningBrain,0.232,2615.231,5.792,1011,0.566
LearningBrain,0.229,2622.121,5.999,1035,0.566
LearningBrain,0.233,2628.881,5.878,1014,0.567
LearningBrain,0.227,2635.545,5.792,1002,0.569
LearningBrain,0.230,2642.337,5.907,1023,0.570
LearningBrain,0.226,2649.053,5.841,1006,0.571
LearningBrain,0.229,2655.666,5.745,1006,0.572
LearningBrain,0.232,2662.353,5.809,1003,0.572
LearningBrain,0.228,2669.045,5.817,1004,0.573
LearningBrain,0.231,2675.706,5.791,1004,0.574
LearningBrain,0.228,2682.406,5.821,1013,0.575
LearningBrain,0.230,2689.035,5.762,1003,0.576
LearningBrain,0.226,2695.741,5.843,1004,0.577
LearningBrain,0.234,2702.560,5.933,1024,0.578
LearningBrain,0.229,2709.391,5.941,1019,0.578
LearningBrain,0.231,2716.114,5.844,1016,0.579
LearningBrain,0.233,2723.062,6.050,1037,0.580
LearningBrain,0.230,2729.808,5.866,1024,0.581
LearningBrain,0.229,2736.494,5.814,1001,0.581
LearningBrain,0.232,2743.212,5.835,1023,0.582
LearningBrain,0.228,2749.863,5.782,1009,0.583
LearningBrain,0.233,2756.583,5.838,1013,0.583
LearningBrain,0.229,2763.326,5.864,1021,0.584
LearningBrain,0.231,2770.109,5.896,1015,0.585
LearningBrain,0.231,2776.759,5.780,1005,0.586
LearningBrain,0.230,2783.430,5.797,1007,0.586
LearningBrain,0.231,2790.034,5.735,1002,0.587
LearningBrain,0.229,2796.776,5.864,1008,0.588
LearningBrain,0.230,2803.541,5.883,1026,0.589
LearningBrain,0.226,2810.245,5.831,1002,0.589
LearningBrain,0.230,2816.917,5.801,1002,0.590
LearningBrain,0.232,2823.673,5.873,1018,0.591
LearningBrain,0.231,2830.426,5.867,1009,0.592
LearningBrain,0.229,2837.276,5.847,1003,0.593
LearningBrain,0.224,2844.015,5.861,1015,0.594
LearningBrain,0.230,2850.756,5.862,1019,0.595
LearningBrain,0.228,2857.535,5.898,1009,0.595
LearningBrain,0.230,2864.268,5.855,1010,0.596
LearningBrain,0.227,2870.978,5.833,1022,0.597
LearningBrain,0.239,2877.712,5.842,1009,0.598
LearningBrain,0.229,2884.583,5.981,1023,0.599
LearningBrain,0.227,2891.361,5.899,1003,0.600
LearningBrain,0.228,2898.021,5.788,1004,0.600
LearningBrain,0.228,2904.660,5.769,1009,0.601
LearningBrain,0.232,2911.307,5.776,1008,0.602
LearningBrain,0.227,2918.137,5.942,1011,0.602
LearningBrain,0.225,2924.915,5.904,1006,0.603
LearningBrain,0.229,2931.628,5.833,1004,0.603
LearningBrain,0.229,2938.443,5.926,1015,0.604
LearningBrain,0.227,2945.154,5.834,1002,0.604
LearningBrain,0.228,2951.849,5.817,1003,0.605
LearningBrain,0.225,2958.600,5.874,1015,0.606
LearningBrain,0.229,2965.338,5.862,1005,0.606
LearningBrain,0.233,2972.112,5.886,1010,0.607
LearningBrain,0.228,2978.947,5.953,1012,0.608
LearningBrain,0.230,2985.663,5.839,1008,0.608
LearningBrain,0.233,2992.503,5.945,1003,0.609
LearningBrain,0.229,2999.227,5.846,1002,0.609
LearningBrain,0.229,3006.025,5.912,1018,0.610
LearningBrain,0.225,3012.745,5.844,1005,0.611
LearningBrain,0.227,3019.366,5.753,1001,0.612
LearningBrain,0.225,3026.037,5.802,1004,0.612
LearningBrain,0.229,3032.728,5.817,1002,0.613
LearningBrain,0.230,3039.475,5.867,1002,0.613
LearningBrain,0.230,3046.299,5.933,1013,0.614
LearningBrain,0.227,3053.020,5.845,1008,0.615
LearningBrain,0.229,3059.733,5.838,1008,0.615
LearningBrain,0.227,3066.622,5.994,1035,0.616
LearningBrain,0.228,3073.366,5.858,1006,0.617
LearningBrain,0.228,3080.026,5.788,1008,0.617
LearningBrain,0.226,3086.805,5.897,1013,0.618
LearningBrain,0.232,3093.528,5.838,1004,0.618
LearningBrain,0.228,3100.281,5.872,1001,0.619
